Epoch,box_loss,dfl_loss,Precision,Recall,mAP50,mAP50-95
122,1.327,1.412,0.661,0.542,0.591,0.339
123,1.314,1.41,0.661,0.541,0.591,0.339
124,1.312,1.403,0.657,0.543,0.592,0.34
125,1.314,1.412,0.655,0.544,0.592,0.34
126,1.318,1.407,0.659,0.541,0.592,0.34
127,1.315,1.407,0.659,0.541,0.592,0.341
128,1.307,1.401,0.661,0.54,0.593,0.341
129,1.312,1.4,0.665,0.539,0.594,0.341
130,1.297,1.396,0.666,0.539,0.594,0.341
131,1.313,1.404,0.665,0.54,0.594,0.342
132,1.304,1.397,0.661,0.542,0.595,0.341
133,1.296,1.398,0.662,0.542,0.595,0.342
134,1.295,1.395,0.661,0.542,0.595,0.342
135,1.3,1.393,0.664,0.542,0.595,0.342
136,1.293,1.391,0.666,0.542,0.596,0.343
137,1.292,1.392,0.667,0.544,0.597,0.343
138,1.295,1.389,0.668,0.543,0.597,0.343
139,1.293,1.387,0.669,0.544,0.598,0.343
140,1.287,1.388,0.671,0.545,0.598,0.343
141,1.354,1.451,0.671,0.546,0.599,0.344
142,1.342,1.443,0.672,0.545,0.598,0.344
143,1.336,1.44,0.674,0.545,0.598,0.344
144,1.332,1.437,0.677,0.545,0.599,0.344
145,1.325,1.43,0.676,0.547,0.6,0.345
146,1.327,1.433,0.678,0.548,0.601,0.345
147,1.325,1.427,0.678,0.548,0.601,0.345
148,1.32,1.43,0.679,0.549,0.602,0.346
149,1.315,1.425,0.683,0.55,0.602,0.347
150,1.316,1.427,0.685,0.549,0.603,0.348
